id,name,host_id,host_name,host_since,host_is_superhost,neighbourhood,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,cleaning_fee,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,instant_bookable,is_business_travel_ready,calculated_host_listings_count,reviews_per_month,neighborhood
5858,Creative Sanctuary,8904,Philip And Tania,2009-03-02,f,Bernal Heights,94110,37.74511,-122.42102,t,Apartment,Entire home/apt,5,1.0,2.0,3.0,"['Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke alarm', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'Private entrance']",100.0,30,60,0,0,0,0,111,2009-05-03,2017-08-06,f,f,1,0.82,Bernal Heights
8339,Historic Alamo Square Victorian,24215,Rosy,2009-07-02,f,Western Addition/NOPA,94117,37.77525,-122.43637,t,Condominium,Entire home/apt,4,1.5,2.0,2.0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove']",171.0,5,111,30,60,90,365,28,2009-09-25,2019-06-28,f,f,2,0.21,Western Addition
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,2009-09-15,t,Lower Haight,94117,37.77187,-122.43858999999999,t,Apartment,Entire home/apt,3,1.0,3.0,3.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Pets allowed', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm']",208.0,30,1125,29,59,89,364,37,2009-10-22,2018-12-01,f,f,34,0.29,Castro/Upper Market
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,2009-06-17,f,Haight-Ashbury,94117,37.769009999999994,-122.44701,f,Apartment,Private room,2,3.0,1.0,2.0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Lock on bedroom door', 'Private entrance', 'Hot water', 'Host greets you']",50.0,32,60,30,60,90,365,6,2011-09-18,2018-09-20,f,f,9,0.06,Haight Ashbury
12522,Perfectly located Castro,18431,Brenda,2009-05-22,t,The Castro,94114,37.76075,-122.43032,t,Apartment,Private room,1,1.0,1.0,1.0,"['Internet', 'Wifi', 'Kitchen', 'Pets live on this property', 'Dog(s)', 'Cat(s)', 'Heating', 'Smoke alarm', 'Essentials', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Host greets you']",10.0,3,27,0,0,0,0,427,2010-01-14,2020-03-10,t,f,1,3.37,Castro/Upper Market
12584,"Views, sun, 12 ft ceilings, decks, 2BR work/sleep",49383,Tom,2009-10-29,t,Cole Valley,94117,37.762029999999996,-122.45455,f,Townhouse,Entire home/apt,4,1.0,2.0,3.0,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Indoor fireplace', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'Self check-in', 'Keypad', 'Private living room', 'Bathtub', 'Stair gates', 'Babysitter recommendations', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed']",339.0,30,367,30,60,90,365,18,2012-10-14,2020-05-21,f,f,1,0.19,Castro/Upper Market
24723,Apartment-like rooms in PacHeights,100800,Cynthia,2010-03-29,t,Western Addition/NOPA,94115,37.78716,-122.43386000000001,t,Guest suite,Entire home/apt,4,1.0,1.0,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Pets live on this property', 'Dog(s)', 'Heating', 'Family/kid friendly', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'Self check-in', 'Keypad', 'Private entrance', 'Bathtub', 'Children’s books and toys', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Single level home', 'Luggage dropoff allowed', 'Long term stays allowed', 'Full kitchen']",0.0,5,31,1,9,24,24,332,2010-04-09,2020-03-12,t,f,1,2.68,Western Addition
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce,2010-04-04,t,Noe Valley,94131,37.74188,-122.43122,t,House,Private room,2,1.0,1.0,1.0,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Breakfast', 'Free street parking', 'Indoor fireplace', 'Heating', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'Room-darkening shades', 'Body soap', 'Bath towel', 'Toilet paper', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Host greets you', 'Printer', 'Espresso machine', 'Formal dining area', 'En suite bathroom', 'Outdoor seating', 'Soaking tub', 'Full kitchen', 'Bedroom comforts', 'Bathroom essentials']",60.0,5,180,28,58,88,363,42,2016-06-21,2020-03-01,f,f,1,0.87,Noe Valley
29373,Sunny house with garden,126263,Cecilia,2010-05-16,t,Bernal Heights,94110,37.73729,-122.41163,t,House,Entire home/apt,4,2.0,2.0,2.0,"['Internet', 'Wifi', 'Kitchen', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke alarm', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Garden or backyard', 'Host greets you']",152.0,4,70,0,0,0,7,17,2011-07-19,2020-01-21,f,f,2,0.16,Bernal Heights
32414,"Cozy, Sunny and Private Space",140251,Lisa,2010-06-07,f,Bernal Heights,94110,37.74025,-122.41259,t,Apartment,Entire home/apt,2,1.0,1.0,2.0,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'Private entrance', 'Baby bath', 'Pack ’n Play/travel crib', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Host greets you']",0.0,30,30,28,45,61,273,94,2010-07-11,2019-09-29,f,f,1,0.78,Bernal Heights
