Wife ID, Husband education, Husband occupation, Standard-of-living, Media exposure
24845,4,1,1,0
29034,4,1,3,0
27904,4,2,4,0
20846,4,2,4,0
19528,4,1,4,0
11649,3,3,3,0
24963,4,1,4,0
13142,3,2,1,0
28202,4,1,4,0
16355,4,1,4,0
27273,4,1,4,0
23217,3,2,4,0
13011,2,3,1,1
14268,4,1,4,0
27927,4,1,4,0
27798,4,1,4,0
15093,4,1,3,0
18196,3,2,3,1
26491,4,1,4,0
10980,4,1,4,0
25672,4,1,3,0
26734,4,3,4,0
20231,3,3,4,0
28678,4,2,2,0
19979,4,3,1,0
24337,3,3,1,0
24202,4,3,3,0
15922,4,2,3,0
11824,4,3,4,0
26256,3,3,4,0
16877,4,1,3,0
10983,3,2,1,0
21814,2,2,3,0
26154,4,1,4,0
23347,2,3,3,0
28307,4,3,2,0
10963,4,3,4,0
25054,4,2,1,0
24014,2,2,4,0
28785,4,1,4,0
21693,4,1,4,0
23363,3,3,3,0
28460,4,3,3,0
29634,4,1,4,0
26331,4,3,1,0
15582,2,2,4,0
27660,4,1,3,0
27324,4,3,4,0
13918,4,3,2,0
22638,4,3,3,0
15498,4,2,4,0
11239,4,1,3,0
14996,4,3,4,0
13033,3,3,1,0
11304,4,1,4,0
29345,4,2,4,0
29949,4,1,4,0
29335,4,3,4,0
13099,3,3,4,0
18558,4,1,3,0
29102,3,3,4,0
24024,3,2,1,0
15997,4,2,4,0
21615,4,2,3,0
18392,4,3,4,0
15550,3,3,3,0
14709,3,2,4,0
23521,3,3,4,0
10630,1,3,3,0
22790,4,1,4,0
29422,3,3,4,0
22171,4,1,3,0
16202,3,3,4,0
12433,4,1,4,0
22438,4,2,3,0
13289,4,2,3,0
23992,3,2,2,0
20208,4,3,3,0
11044,4,3,4,0
13748,2,3,3,0
14140,4,2,3,0
27564,4,1,3,0
13811,4,1,4,0
23251,3,2,1,0
15728,4,1,4,0
25997,4,3,4,0
12128,4,1,4,0
24098,2,2,4,0
12497,4,3,4,0
23089,3,2,4,0
25913,3,3,2,0
14532,4,3,1,0
21017,4,3,3,0
12430,4,2,4,0
21000,4,1,4,0
27724,4,3,3,0
23960,4,3,2,0
23357,3,1,3,0
23738,4,2,4,0
25419,4,1,4,0
28014,3,2,4,0
29667,4,3,4,0
11770,4,2,4,0
27728,3,2,2,0
12769,2,2,1,0
16449,4,1,4,0
25281,4,2,3,0
29057,4,1,4,0
24312,4,1,3,0
27030,4,1,4,0
17529,4,1,4,0
21180,4,3,2,0
23686,4,2,3,0
21748,3,1,4,0
21169,4,3,4,0
12453,3,2,3,0
12889,4,3,4,0
13503,4,1,3,0
24979,4,3,2,0
13599,3,3,4,0
27501,3,3,4,0
13526,4,1,4,0
12698,4,3,4,0
16975,4,1,4,0
15337,4,1,4,0
23847,3,2,1,0
26233,4,2,4,0
27255,3,2,1,0
26213,4,1,4,0
16663,4,2,4,0
15849,4,1,4,0
11501,3,1,4,0
17062,3,3,3,0
17464,3,2,4,0
16954,4,1,4,0
23830,3,3,2,0
14325,3,3,4,0
18090,4,2,3,0
24899,4,1,4,0
26809,4,1,2,1
10486,4,1,4,0
14254,2,2,2,0
16566,3,2,3,0
11570,2,3,4,0
20850,1,3,1,0
21112,3,3,3,0
29090,4,1,4,0
11983,4,3,4,1
25321,3,2,3,0
12916,4,3,3,0
14041,3,3,4,0
10188,4,1,2,0
27445,3,3,3,1
23455,4,1,4,0
14939,4,1,4,0
28405,3,3,3,0
15175,4,4,4,1
28560,3,2,1,0
14870,4,2,4,0
29418,2,3,2,0
14042,4,1,4,0
13192,4,1,4,0
10004,3,2,4,0
19720,4,2,3,0
11279,2,3,2,0
22557,3,2,2,1
29652,4,1,4,0
22260,3,3,4,1
22459,1,2,4,0
22846,4,1,4,0
22788,2,2,1,0
15775,3,1,2,0
20938,4,1,4,0
26470,4,2,3,0
18016,3,2,2,0
18109,4,3,3,0
19602,4,1,4,0
24161,3,3,1,0
17494,2,3,2,1
28134,4,3,1,0
12819,4,1,3,0
18731,3,2,3,0
28122,4,1,3,0
16333,3,2,1,0
19959,4,3,4,0
16382,1,3,4,0
29899,2,2,2,1
11922,4,1,4,0
17701,4,1,3,0
21148,4,2,4,0
23346,4,2,4,0
12439,4,3,4,0
14777,3,2,3,0
12308,4,3,4,0
28005,4,1,4,0
21243,3,3,4,0
16678,1,3,1,0
13397,4,1,3,0
22291,4,2,4,0
17468,2,3,3,1
27486,3,3,2,0
11036,4,1,4,1
17095,4,2,2,0
19779,3,1,1,0
14439,4,3,4,0
29773,3,3,3,1
12758,4,3,2,0
19787,4,1,4,0
16349,2,2,2,0
17176,4,3,2,0
13827,4,2,2,0
24767,2,2,4,0
15635,4,1,4,0
28501,1,3,1,1
10353,4,1,4,0
27701,4,1,4,0
10931,3,3,2,0
12648,4,1,2,0
13401,3,2,2,1
16944,2,2,4,0
17243,1,2,1,1
12212,3,2,2,0
19334,2,3,2,0
14570,3,2,3,0
15486,4,2,3,0
26460,4,2,3,0
29214,4,1,4,0
17187,4,3,2,0
23623,4,1,3,0
14599,4,1,4,0
27810,4,2,4,0
21611,4,1,4,0
12744,1,3,4,1
28345,2,1,3,0
22894,3,3,3,0
19409,2,2,3,0
29693,2,3,4,0
12115,4,2,2,0
18685,4,1,4,0
21249,2,3,3,0
15135,4,3,3,0
13075,4,1,3,0
14849,3,2,4,0
29047,4,3,3,0
25260,4,1,3,0
18961,3,3,2,0
13148,4,3,3,0
16363,4,3,4,0
20425,4,1,4,0
10332,3,2,4,0
11862,4,1,4,0
15050,4,2,3,0
19807,2,3,4,0
10074,4,1,4,1
27090,3,3,2,0
16248,4,1,4,0
22274,3,2,1,0
23627,3,3,2,0
16125,2,3,3,0
12812,1,3,2,0
26965,2,3,4,0
20706,4,3,3,0
17984,4,1,4,0
16025,2,3,1,0
10020,3,3,2,0
24551,4,2,4,0
19486,2,2,4,0
27621,3,3,2,0
16652,3,3,4,0
10085,4,3,3,0
29729,4,2,1,0
18868,4,1,3,0
13198,4,1,3,0
13301,3,3,2,1
12072,4,1,4,0
12699,4,1,3,0
23269,4,2,2,0
16765,3,3,1,0
17920,4,2,4,0
27338,2,3,4,0
10971,4,1,3,0
29416,4,3,1,0
28462,4,3,3,0
26779,3,3,4,0
19509,2,3,2,0
