Agency Name,Type of Agency,County,disqualifies_complaints,restricts_delays_interrogations,gives_officers_unfair_access_to_information,limits_oversight_discipline,requires_city_pay_for_misconduct,erases_misconduct_records,requires_deescalation,bans_chokeholds_and_strangleholds,duty_to_intervene,requires_warning_before_shooting,restricts_shooting_at_moving_vehicles,requires_comprehensive_reporting,requires_exhaust_all_other_means_before_shooting,has_use_of_force_continuum
Alameda County Sheriff's Department,Sheriff's Department,Alameda County,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Alameda Police Department,Police Department,Alameda County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Alhambra Police Department,Police Department,Los Angeles County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Alpine County Sheriff's Department,Sheriff's Department,Alpine County,1,1,1,0,1,0,0,0,1,1,0,0,0,0
Amador County Sheriff's Department,Sheriff's Department,Amador County,1,1,1,1,1,0,0,0,1,1,0,0,0,0
Anaheim Police Department,Police Department,Orange County,1,1,1,1,1,0,0,0,1,1,0,0,0,0
Antioch Police Department,Police Department,Contra Costa County,1,1,1,1,0,1,0,0,1,1,0,0,0,0
Bakersfield Police Department,Police Department,Kern County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Berkeley Police Department,Police Department,Alameda County,1,1,1,1,0,0,0,1,1,1,0,0,0,1
Beverly Hills Police Department,Police Department,Los Angeles County,1,1,1,0,0,0,0,0,0,1,0,0,1,1
Buena Park Police Department,Police Department,Orange County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Burbank Police Department,Police Department,Los Angeles County,1,1,1,0,1,0,1,0,1,1,0,1,0,0
Butte County Sheriff's Department,Sheriff's Department,Butte County,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Calaveras County Sheriff's Department,Sheriff's Department,Calaveras County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Carlsbad Police Department,Police Department,San Diego County,1,1,1,0,1,1,0,0,1,1,0,0,0,0
Chico Police Department,Police Department,Butte County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Chino Police Department,Police Department,San Bernardino County,1,1,1,1,0,1,0,0,1,1,0,0,0,0
Chula Vista Police Department,Police Department,San Diego County,1,1,1,0,0,0,0,0,1,1,0,1,0,0
Citrus Heights Police Department,Police Department,Sacramento County,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Clovis Police Department,Police Department,Fresno County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Colusa County Sheriff's Department,Sheriff's Department,Colusa County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Concord Police Department,Police Department,Contra Costa County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Contra Costa County Sheriff's Department,Sheriff's Department,Contra Costa County,1,1,1,0,0,0,0,1,0,0,0,0,1,0
Corona Police Department,Police Department,Riverside County,1,1,1,0,0,0,0,1,1,1,0,0,0,0
Costa Mesa Police Department,Police Department,Orange County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Culver City Police Department,Police Department,Los Angeles County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Daly City Police Department,Police Department,San Mateo County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Del Norte County Sheriff's Department,Sheriff's Department,Del Norte County,1,1,1,1,1,0,0,0,1,1,0,0,0,0
Downey Police Department,Police Department,Los Angeles County,1,1,1,0,1,0,0,0,0,0,0,0,0,0
El Cajon Police Department,Police Department,San Diego County,1,1,1,0,0,1,1,0,0,0,0,0,1,1
El Dorado County Sheriff's Department,Sheriff's Department,El Dorado County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
El Monte Police Department,Police Department,Los Angeles County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Elk Grove Police Department,Police Department,Sacramento County,1,1,1,1,0,1,1,0,1,1,0,0,0,1
Escondido Police Department,Police Department,San Diego County,1,1,1,1,0,0,0,0,0,1,0,1,0,0
Fairfield Police Department,Police Department,Solano County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Fontana Police Department,Police Department,San Bernardino County,1,1,1,0,1,0,0,0,1,1,0,0,0,0
Fremont Police Department,Police Department,Alameda County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Fresno County Sheriff's Department,Sheriff's Department,Fresno County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Fresno Police Department,Police Department,Fresno County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Fullerton Police Department,Police Department,Orange County,1,1,1,1,0,1,1,0,1,1,0,0,0,0
Garden Grove Police Department,Police Department,Orange County,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Gardena Police Department,Police Department,Los Angeles County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Glendale Police Department,Police Department,Los Angeles County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Glenn County Sheriff's Department,Sheriff's Department,Glenn County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Hawthorne Police Department,Police Department,Los Angeles County,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hayward Police Department,Police Department,Alameda County,1,1,1,1,1,0,0,0,1,1,0,1,0,0
Humboldt County Sheriff's Department,Sheriff's Department,Humboldt County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Huntington Beach Police Department,Police Department,Orange County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Imperial County Sheriff's Department,Sheriff's Department,Imperial County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Inglewood Police Department,Police Department,Los Angeles County,1,1,1,1,0,0,1,0,1,1,0,0,0,0
