Agency Name,Type of Agency,County,Total Population of Jurisdiction,White Population,Black Population,Hispanic Population,Native American Population,Asian Population,Pacific Islander Population,Other Population,Multiracial Population,Percent High School Graduates in Jurisdiction,Unemployment Rate in Jurisdiction,Median Income,Poverty Rate
Alameda Police Department,Police Department,Alameda County,79654,10066,33238,6078,29,24500,780,562,4401,91.1,4.4,81375,10.2
Alhambra Police Department,Police Department,Los Angeles County,86475,32234,9056,1450,136,42012,236,322,1029,82.2,3.5,53247,18.2
Anaheim Police Department,Police Department,Orange County,354891,189491,91910,6675,181,59712,987,160,5775,77.8,4.5,61877,17.4
Antioch Police Department,Police Department,Contra Costa County,112630,40000,31792,22257,391,10958,721,85,6426,87.9,6.7,63164,16.3
Bakersfield Police Department,Police Department,Kern County,379741,186871,124775,30373,1557,28112,717,291,7045,81,6.4,59925,20.3
Berkeley Police Department,Police Department,Alameda County,122188,14659,69677,6438,548,24403,328,271,5864,96.4,5.5,68969,22.7
Beverly Hills Police Department,Police Department,Los Angeles County,35217,2649,27404,391,73,3323,4,97,1276,94.9,4.5,108736,10
Buena Park Police Department,Police Department,Orange County,84836,30900,22076,4063,0,25832,797,23,1145,84.9,2.9,76971,15.7
Burbank Police Department,Police Department,Los Angeles County,106110,29566,56857,1375,218,11905,20,1851,4318,89.4,5.7,64459,13.5
Carlsbad Police Department,Police Department,San Diego County,116376,18954,84039,1116,25,9384,0,505,2353,96,3.8,97319,8.5
Chico Police Department,Police Department,Butte County,90856,16623,65323,1380,0,3073,129,44,4284,93.5,4.3,41788,26.9
Chino Police Department,Police Department,San Bernardino County,86443,45609,18273,4167,680,11546,180,0,5988,77.2,4.6,74073,13.6
Chula Vista Police Department,Police Department,San Diego County,270676,160272,48661,13146,140,38609,1147,750,7951,79.9,5.6,65006,14.6
Citrus Heights Police Department,Police Department,Sacramento County,87559,17204,60338,2944,1127,2857,315,0,2774,89.9,7.1,45858,18
